min	max	mean	stddev
50.13	56.748	54.6892	2.63439
min	max	mean	stddev
25.142	25.375	25.241	0.0929731
min	max	mean	stddev
14.466	14.587	14.5532	0.0500869
min	max	mean	stddev
10.007	10.153	10.071	0.0626578
min	max	mean	stddev
8.301	8.518	8.3878	0.0796662
min	max	mean	stddev
8.072	8.246	8.1586	0.0794311
min	max	mean	stddev
580.15	580.15	580.15	0
min	max	mean	stddev
285.644	285.644	285.644	0
min	max	mean	stddev
159.321	159.321	159.321	0
min	max	mean	stddev
109.353	109.353	109.353	0
min	max	mean	stddev
90.235	90.235	90.235	0
min	max	mean	stddev
84.77	84.77	84.77	0
min	max	mean	stddev
57.311	59.847	58.8026	1.0596
min	max	mean	stddev
27.286	29.171	28.0714	0.820156
min	max	mean	stddev
14.946	16.79	15.539	0.821672
min	max	mean	stddev
10.369	11.74	10.9556	0.680072
min	max	mean	stddev
9.912	11.45	10.5914	0.741094
min	max	mean	stddev
9.203	10.038	9.6094	0.408223
min	max	mean	stddev
136.419	140.269	138.506	1.44216
min	max	mean	stddev
68.106	72.082	70.407	1.98735
min	max	mean	stddev
33.723	34.38	33.98	0.246026
min	max	mean	stddev
19.775	20.19	19.9482	0.157203
min	max	mean	stddev
15.695	16.149	15.9312	0.207051
min	max	mean	stddev
14.438	16.041	15.1302	0.718243
min	max	mean	stddev
209.207	215.108	213.028	2.35569
min	max	mean	stddev
102.783	108.198	104.555	2.18413
min	max	mean	stddev
48.934	49.3	49.127	0.148563
min	max	mean	stddev
30.544	31.291	30.8142	0.331638
min	max	mean	stddev
26.662	27.083	26.803	0.176149
min	max	mean	stddev
24.93	26.123	25.4604	0.451431
min	max	mean	stddev
141.133	145.558	143.139	1.68892
min	max	mean	stddev
68.268	71.144	69.385	1.08358
min	max	mean	stddev
43.155	44.008	43.6154	0.351435
min	max	mean	stddev
34.909	36.225	35.5422	0.497647
min	max	mean	stddev
32.046	32.654	32.385	0.270638
min	max	mean	stddev
54.592	56.169	54.9956	0.659135
min	max	mean	stddev
30.467	30.895	30.671	0.157697
min	max	mean	stddev
14.403	14.695	14.5304	0.105147
min	max	mean	stddev
7.153	7.311	7.2202	0.057443
min	max	mean	stddev
5.317	5.485	5.3876	0.0640492
min	max	mean	stddev
5.216	5.342	5.2932	0.0502265
min	max	mean	stddev
4.64	4.947	4.7676	0.111995
min	max	mean	stddev
77.561	80.166	79.0022	1.1131
min	max	mean	stddev
41.654	42.783	42.1458	0.435522
min	max	mean	stddev
36.022	37.07	36.538	0.495176
min	max	mean	stddev
31.793	31.985	31.9062	0.0789601
