min	max	mean	stddev
1762.16	1994.79	1832.11	93.4301
min	max	mean	stddev
3940.92	3977.34	3961.84	14.5553
min	max	mean	stddev
6855.48	6912.98	6871.5	23.8306
min	max	mean	stddev
9849.09	9992.52	9929.56	61.7718
min	max	mean	stddev
11740.1	12046.4	11922.7	112.182
min	max	mean	stddev
12127.7	12388.3	12258	119.261
min	max	mean	stddev
172.369	172.369	172.369	0
min	max	mean	stddev
350.086	350.086	350.086	0
min	max	mean	stddev
627.662	627.662	627.662	0
min	max	mean	stddev
914.471	914.471	914.471	0
min	max	mean	stddev
1108.22	1108.22	1108.22	0
min	max	mean	stddev
1179.66	1179.66	1179.66	0
min	max	mean	stddev
1670.92	1744.87	1701.04	30.8442
min	max	mean	stddev
3428.04	3664.89	3564.78	103.151
min	max	mean	stddev
5955.95	6690.78	6449.36	329.532
min	max	mean	stddev
8518.02	9644.03	9155.4	556.921
min	max	mean	stddev
8733.36	10088.5	9477.74	648.243
min	max	mean	stddev
9961.85	10866.1	10421.5	440.235
min	max	mean	stddev
1425.83	1466.08	1444.11	15.0847
min	max	mean	stddev
2774.64	2936.59	2842.46	81.0356
min	max	mean	stddev
5817.26	5930.58	5886.01	42.3921
min	max	mean	stddev
9905.67	10113.9	10026.5	78.7715
min	max	mean	stddev
12384.5	12743	12555.7	163.655
min	max	mean	stddev
12468.4	13852.1	13242	618.471
min	max	mean	stddev
1394.65	1433.99	1408.41	15.7119
min	max	mean	stddev
2772.69	2918.78	2870.27	58.8084
min	max	mean	stddev
6085.17	6130.72	6106.67	18.483
min	max	mean	stddev
9587.41	9821.88	9736.65	104.178
min	max	mean	stddev
11076.9	11252.2	11193.2	73.2836
min	max	mean	stddev
11484.2	12033.9	11786	207.723
min	max	mean	stddev
2748.05	2834.21	2794.81	32.8579
min	max	mean	stddev
5622.42	5859.29	5766.06	89.0057
min	max	mean	stddev
9089.28	9268.85	9171.55	74.0394
min	max	mean	stddev
11042.2	11458.5	11256	157.347
min	max	mean	stddev
12249.8	12482	12352.1	103.428
min	max	mean	stddev
890.166	915.892	909.267	10.7331
min	max	mean	stddev
1618.37	1641.1	1630.23	8.37623
min	max	mean	stddev
3402.48	3471.61	3441.24	24.8575
min	max	mean	stddev
6838.94	6989.81	6925.18	54.8011
min	max	mean	stddev
9116.32	9403.66	9281.82	109.541
min	max	mean	stddev
9360.05	9585.67	9446.56	89.9714
min	max	mean	stddev
10106.3	10775.1	10491.7	243.018
min	max	mean	stddev
4989.63	5157.26	5063.95	71.6106
min	max	mean	stddev
9349.61	9602.81	9491.62	97.6055
min	max	mean	stddev
10790.4	11104.3	10949.1	147.942
min	max	mean	stddev
12506	12581.2	12536.8	30.9527
